,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
287,Damavand,0,IR,1567723243,31,35.72,52.07,75.2,4.7
288,Razole,100,IN,1567723244,95,16.48,81.84,75.65,13.67
289,Kutum,61,SD,1567723246,65,14.2,24.66,75.29,10.4
290,Minsk,0,BY,1567723247,100,53.9,27.56,46.4,5.32
291,Deputatskiy,68,RU,1567723248,60,69.3,139.9,42.71,2.82
292,Udachnyy,90,RU,1567723249,100,66.42,112.4,33.8,6.71
293,Codrington,90,AU,1567723250,100,-28.95,153.24,64.4,8.05
294,Quelimane,20,MZ,1567723251,68,-17.88,36.89,69.8,3.36
295,Kabare,40,RW,1567723252,90,-1.65,29.38,55.49,0.78
296,Katete,15,UG,1567723254,90,-0.78,29.75,63.05,2.35
297,Bhilwara,74,IN,1567723255,88,25.35,74.64,77.99,2.62
298,Bereda,75,ES,1567723256,77,43.27,-7.54,62.01,8.05
299,Kruisfontein,4,ZA,1567723257,85,-34.0,24.73,47.21,10.29
300,Northam,0,AU,1567723258,61,-31.65,116.67,46.4,16.11
301,Zuenoula,75,CI,1567723259,97,7.43,-6.04,70.97,3.0
302,Ambunti,100,PG,1567723261,92,-4.22,142.82,74.57,2.19
303,Ixtlahuacan del Rio,75,MX,1567723262,39,20.87,-103.25,82.4,3.36
304,Kalemie,12,CD,1567723263,41,-5.95,29.2,70.97,1.01
305,Palmer,40,AU,1567723264,66,-34.85,139.16,54.0,24.16
306,Werda,19,BW,1567723265,26,-25.27,23.28,66.47,8.28
307,Savelugu,42,GH,1567723266,87,9.63,-0.83,76.37,6.35
308,Kearney,1,US,1567723267,49,40.7,-99.08,93.2,5.82
309,Yako,57,BF,1567723269,84,12.96,-2.26,77.81,8.28
310,Sibolga,97,ID,1567723262,82,1.74,98.78,81.41,11.36
311,Laguna,75,BZ,1567723271,70,16.17,-88.94,89.6,6.93
312,Cervo,83,BR,1567723272,89,-22.19,-46.24,60.35,4.36
313,Portland,75,US,1567723186,63,43.66,-70.25,66.99,9.17
314,Barcelos,83,BR,1567723194,77,-0.97,-62.93,79.43,4.45
315,Quatre Cocos,20,MU,1567723275,83,-20.21,57.76,69.8,3.36
316,Tsiroanomandidy,76,MG,1567723276,53,-18.77,46.05,68.45,2.28
317,Farmington,1,US,1567723277,13,36.73,-108.21,93.2,9.17
318,Batagay,98,RU,1567723279,91,67.65,134.64,42.71,0.78
319,Morant Bay,20,JM,1567723280,62,17.88,-76.41,87.8,17.22
320,Sechura,60,PE,1567723281,84,-5.56,-80.82,63.41,11.39
321,Marovoay,20,MG,1567723282,88,-16.11,46.64,69.8,3.36
322,Bowen,0,AU,1567723283,55,-20.01,148.25,75.99,6.24
323,Ilinge,96,ZA,1567723284,87,-31.98,27.04,44.87,6.46
324,Solwezi,2,ZM,1567723286,39,-12.18,26.4,58.55,6.6
325,Banda Aceh,100,ID,1567723059,81,5.56,95.32,82.49,13.38
326,Mackenzie,1,CA,1567723288,52,55.34,-123.09,66.2,5.82
327,Sambava,24,MG,1567723289,85,-14.27,50.17,64.13,3.6
328,Zeya,56,RU,1567723290,49,53.74,127.27,61.43,1.9
329,Petropavlovsk-Kamchatskiy,40,RU,1567723291,100,53.05,158.65,48.2,4.47
330,Iwaki,75,JP,1567723292,100,37.05,140.89,71.6,1.12
331,Flinders,20,AU,1567723294,100,-34.58,150.85,64.99,4.65
332,Berlevag,0,NO,1567723295,87,70.86,29.09,46.4,3.36
333,Zharkent,99,KZ,1567723296,77,44.17,80.0,45.23,5.12
334,Umm Lajj,0,SA,1567723297,71,25.02,37.27,84.47,11.23
335,Wanaka,100,NZ,1567723298,71,-44.7,169.14,46.0,2.71
336,Alice Springs,0,AU,1567723299,44,-23.7,133.88,60.8,13.87
337,Christchurch,100,NZ,1567723265,93,-43.53,172.64,48.0,12.75
338,Zhongshu,100,CN,1567723302,95,24.52,103.77,62.87,1.54
339,Revda,100,RU,1567723303,96,67.94,34.55,50.63,6.08
340,Ketchikan,1,US,1567723304,77,55.34,-131.65,60.8,17.22
341,Livingston,1,US,1567723091,49,40.8,-74.31,73.4,3.09
342,San Ignacio,47,PE,1567723306,92,-5.15,-79.0,62.15,2.46
343,Mahajanga,20,MG,1567723307,88,-15.72,46.32,69.8,3.36
344,Wilmington,1,US,1567723036,64,39.75,-75.55,75.2,4.7
345,Andreapol,11,RU,1567723309,94,56.65,32.27,50.63,5.41
346,Moose Factory,20,CA,1567723311,76,51.26,-80.61,51.8,10.29
347,Carbondale,1,US,1567723312,59,38.82,-95.69,93.2,12.75
348,Ahipara,62,NZ,1567723313,100,-35.17,173.16,53.01,33.53
349,Batagay-Alyta,92,RU,1567723314,75,67.8,130.41,38.75,3.4
350,Suntar,100,RU,1567723315,97,62.16,117.65,47.75,6.67
351,Campoverde,40,EC,1567723316,54,-0.91,-78.62,59.0,16.11
352,Yar-Sale,0,RU,1567723317,92,66.83,70.83,48.47,11.39
353,Thompson,90,CA,1567723319,50,55.74,-97.86,53.6,5.82
354,Fairbanks,1,US,1567723126,59,64.84,-147.72,63.0,4.7
355,Santa Cruz del Sur,100,CU,1567723321,82,20.71,-78.0,80.69,7.05
356,Lanxi,12,CN,1567723322,88,29.21,119.46,75.83,2.89
357,Oban,100,GB,1567723323,96,56.42,-5.47,55.0,5.99
358,Boa Vista,40,BR,1567723300,62,2.82,-60.67,87.8,4.7
359,Narasannapeta,100,IN,1567723326,94,18.42,84.04,75.83,3.49
360,Conde,7,BR,1567723327,98,-11.81,-37.61,69.17,4.09
361,Gazli,0,UZ,1567723328,38,40.13,63.45,58.55,9.06
362,Te Anau,96,NZ,1567723329,90,-45.41,167.72,40.73,8.86
363,Walvis Bay,0,NA,1567723330,87,-22.95,14.51,55.0,4.7
364,Puerto Escondido,75,MX,1567723331,59,15.86,-97.07,91.4,8.05
365,Pevek,42,RU,1567723333,75,69.7,170.27,42.89,1.34
366,Waitati,100,NZ,1567723334,79,-45.75,170.57,48.0,18.01
